commName,state,fold,population,racepctblack,racePctWhite,racePctAsian,racePctHisp,pctUrban,medIncome,pctWFarmSelf,pctWInvInc,pctWPubAsst,pctWRetire,perCapInc,PctPopUnderPov,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,FemalePctDiv,PctFam2Par,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,PctImmigRec10,PctRecImmig5,PctRecImmig8,PctNotSpeakEnglWell,PctLargHouseFam,PersPerOccupHous,PersPerRentOccHous,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccMedVal,OwnOccQrange,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,larcPerPop,pctMinority,PctLarcPerPop,PctSingleParent,CommTransience,PctVacant,TotalHomeless,PctUnhoused
De Soto,TX,2,30544,20.83,75.97,1.13,4.98,100,45550,1.34,41.93,2.48,10.73,18093,3.98,12,29.36,4.11,75.58,13.27,22.08,8.28,12.61,80.68,80.39,352,1.81,29.76,0.3,0.43,0.64,3.71,2.81,2.4,2.82,28.21,3,896,92.31,0.22,32.48,1981,2.61,0.27,95700,44100,174,497,23.5,23.2,12.9,0,0,2.86,67.07,42.2,78.78,90.04,22.4,1365.5,0.78,3093.28,24.03,10.127291775798849,19.319999999999993,37.32,7.689999999999998,0,0
Sun Prairie,WI,2,15333,0.67,98.15,0.56,1,0,35301,0.81,54.29,3.28,12.43,14268,3.13,16.07,20.89,2.75,74.66,18.31,20.21,15.89,11.62,77.92,82.13,227,1.94,14.29,0.11,0.12,0.27,3.88,2.72,2.37,1.57,40.4,3,113,98.02,1.77,14.16,1970,1.28,0.09,74400,27800,128,465,23.6,19.4,12.7,0,0,1.1,76.77,47.61,78.12,89.62,7.3,2105.1,0.24,3766.81,1.8499999999999943,24.566686232309397,22.08,32.5,1.980000000000004,0,0
Hendersonville,TN,2,32188,2.33,96.7,0.56,0.83,100,38068,1.17,42.88,2.04,13.14,16010,4.49,16.66,21.1,3.69,71.42,14.93,21.16,11.03,12.37,82.54,73.84,191,0.85,56.21,0.62,0.66,0.27,2.95,2.77,2.4,1.04,27.86,3,1031,91.73,0.87,32.78,1975,2.7,0,86300,50500,145,496,25.3,21.2,11.9,0,0,1.85,54.52,44.72,65.08,81.73,22.9,1407.8,1.08,1914.08,3.299999999999997,5.946563936870883,17.459999999999994,45.23,8.269999999999996,0,0
Boynton Beach,FL,2,46194,20.12,77.74,0.63,6.76,100,28824,0.44,50.14,4.35,22.53,16668,9.59,26.93,16.36,5.26,50.58,7.46,22.58,8.72,12.08,65.86,74.07,1833,4.87,44.29,3.14,4.08,2.88,5,2.25,2.47,4.84,72.66,2,5252,79.44,1.43,24.47,1976,2.71,0.33,79400,40800,198,632,28.1,23.4,11.9,16,12,12.49,22.11,48.19,72.79,79.61,15.7,2945.3,1.04,4533.57,22.260000000000005,9.814196648915443,34.14,52.3,20.560000000000002,28,0.06
Raritan,NJ,2,15616,0.79,96.23,2.5,1.9,0,61524,1.34,61.48,1.45,10.99,24637,2.31,10.04,42.03,2.46,74.58,19.18,23.2,7.33,8.14,91.65,64.99,69,0.73,30.81,1.41,1.74,0.34,3.73,2.79,2.39,0.6,35.41,3,351,94.03,0.57,60.97,1982,0.33,0.39,211600,125800,375,857,24.4,28.1,15.8,19,0,6.01,54.63,42.4,56.97,82.95,39.2,398.2,1.55,1851.85,3.769999999999996,11.858670594262295,8.349999999999994,48.67,5.969999999999999,19,0.12
Traverse City,MI,2,15116,0.23,98.08,0.58,0.69,0,27373,0,49.97,4.71,16.77,14636,8.7,15.93,28.71,4.19,61.79,11.34,29.72,10.15,14.36,74.12,74.61,164,1.42,7.38,0.06,0.06,0.27,4.05,2.32,2.03,0.99,45.03,3,353,94.6,3.12,38.53,1949,0.97,0.57,64700,36900,178,439,27.1,20.9,13.8,71,0,2.15,78.94,49.44,74.22,92.38,8.2,1838.9,0.83,4137.36,1.9200000000000017,27.370732998147655,25.879999999999995,32.47,5.400000000000006,71,0.47
Rockwall,TX,2,10486,3.73,93.69,0.74,4.5,100,44130,1.57,49.41,1.88,13.46,20529,7.64,13.65,36.96,4.58,67.3,16.18,24.17,5.83,10.72,83.3,64,60,0.77,42.14,0.32,0.73,0.98,3.39,2.64,2.42,3.03,36.17,3,467,89.29,1.28,47.75,1980,4.55,0.16,118600,75600,260,543,24.5,23.6,12.5,0,0,2.85,56.52,39.47,54.76,85.58,15.2,690.4,0.56,2300.75,6.310000000000002,21.941159641426662,16.700000000000003,49.75,10.709999999999994,0,0
Meridian,MS,2,41036,45.35,53.97,0.44,0.57,0,18004,0.33,27.3,12.46,15.17,10670,27.76,31.39,15.85,9.45,51.77,15.97,26.6,14.82,15.74,54.92,70.59,3258,9.15,42.55,0.09,0.17,0.13,6.2,2.46,2.42,4.22,45.87,3,1570,91.15,4.71,50.83,1961,10.34,0.98,45900,35600,171,284,26.5,18.3,12.9,29,24,0.46,79.02,56.39,85.84,91.15,36.9,1111.6,0.52,2838.23,46.03,6.916439224095916,45.08,26.25,8.849999999999994,53,0.13
New Port Richey,FL,2,14044,0.48,98.32,0.58,2.03,100,18514,0.39,42.53,5.54,27.24,11294,14.61,32.74,8.24,5.97,43.13,6.37,27.3,11.33,14.92,65.16,71.15,213,1.71,18.25,0.18,0.51,0.68,2.2,2.09,2.12,2.12,82.39,2,1347,82.78,0.74,35.63,1974,5.76,0.2,50400,25800,79,372,29.5,23.6,11.2,3,9,4.8,17.37,44.9,69.85,79.05,4.4,3224.1,0,4150.89,1.6800000000000068,29.556322984904586,34.84,55.96,17.22,12,0.09
Lower Allen,PA,2,15254,5.43,92.39,1.49,1.62,93.23,37461,1.06,62.87,2.88,26.81,18304,3.65,16.98,24,2.17,54.63,9.13,22.76,10.71,10.89,80.66,72.48,99,0.95,56.76,0.6,1.05,0.61,1.81,2.28,1.84,0.56,39.94,3,257,95.8,0.78,14.01,1963,0.53,0.13,85400,39400,203,524,23.7,17.4,10.8,0,0,2.18,78.89,57.11,71.76,92.38,10.7,1431.1,1.1,2339.82,7.609999999999999,15.339058607578341,19.340000000000003,30.75,4.200000000000003,0,0
Willingboro,NJ,2,36291,56.07,39.68,1.92,5.3,100,47121,0.64,38.61,4.48,25.01,15774,4.47,15.27,19.78,5.61,71.26,16.19,24.88,13.08,12.43,75.95,81.17,1161,4.06,25.84,0.78,1.42,1.27,10.09,3.29,3.94,2.68,7.02,3,192,98.29,7.81,38.02,1964,1.82,0.2,95800,34000,218,910,28.8,22.1,13.5,0,0,6.67,34.71,62.87,78.11,87.74,8,4547.1,4.94,2180.41,60.32,6.008128737152461,24.049999999999997,41.44,1.7099999999999937,0,0
Ridgefield Park,NJ,2,12454,2.03,91.38,4.24,9.56,100,42464,0.66,51.45,4.92,13.84,19507,5.1,21.54,21.32,4.59,68.04,16.31,19.22,11.11,9.38,80.93,66.99,186,2.15,29.32,2.5,3.51,2.61,5.87,2.51,2.05,2.92,54.47,2,159,96.9,1.89,52.2,1939,0.81,0.18,172800,47000,241,694,27.1,24.3,13.6,0,0,14.32,56.21,65.9,85.88,91.03,1.8,6943.6,12.87,1009.54,8.620000000000005,8.106150634,19.069999999999993,30.67,3.0999999999999943,0,0
Emmett,MI,2,10764,1.2,96.79,0.76,1.37,67.6,30200,0.78,43.97,10.29,18.77,13424,11.94,24.27,10.88,8.18,58.07,28.21,19.5,19.45,13.43,77.13,70.66,130,1.57,27.08,0.6,0.6,0.28,3.24,2.58,2.27,1.83,42.82,3,191,95.55,2.09,29.84,1959,3.58,0.61,50000,40400,139,408,26.4,15.2,14,0,0,2.23,76.66,61,86.76,92.7,33.4,322.2,0,3644.42,3.2099999999999937,33.85748792270532,22.870000000000005,25.19,4.450000000000003,0,0
Hingham,MA,2,19821,0.46,98.47,0.81,0.83,95.18,60274,0.36,60.08,3.98,17.1,25726,2.64,5.83,48.2,5.9,64.66,10.4,30.21,5.07,7.99,86.79,63.48,76,0.5,18.1,0.25,0.73,0.27,4.69,2.84,2.19,0.27,26.64,3,246,96.56,1.63,39.43,1953,0.12,0.17,241300,139900,446,783,26.1,21.2,14.7,27,0,4.57,72.6,68.35,82.53,94.14,23.3,851.4,9.33,1556.12,1.5300000000000011,7.850865243933201,13.209999999999994,25.51,3.4399999999999977,27,0.14
El Dorado,AR,2,23146,37.7,61.68,0.32,0.48,0,19205,1.06,32.97,10.45,16.75,11408,24.83,32.44,16.25,7.53,51.51,21.73,22.81,17.68,13.99,62.36,68.27,1338,6.64,34.81,0.09,0.22,0.44,5.22,2.45,2.5,4.23,49.87,3,1111,89.18,3.6,55.27,1957,14.49,0.43,42300,35100,140,310,28.1,18.1,14,0,0,0.78,74.38,60.45,85.9,92.2,16.2,1429.8,0.2,4334.16,38.32,18.725308908666722,37.64,26.42,10.819999999999993,0,0
Westbrook,ME,2,16121,0.61,98.44,0.57,0.48,100,29833,0.57,39.37,6.53,18.74,13266,9.67,21.1,13.37,4.97,66.06,20.26,21.26,16.9,13.65,71.97,78.16,209,1.69,17.24,0.21,0.36,1.08,2.63,2.53,2.3,1.01,50.26,2,268,95.95,2.61,32.09,1951,1.94,0.2,105800,41200,207,504,26.8,21,13,0,0,2.34,79.79,53.51,85.45,92.13,17.5,922.6,2.09,3314.5,1.5600000000000023,20.56013895,28.03,27.08,4.049999999999997,0,0
Newburgh,NY,2,26454,34.81,51.25,0.51,23.22,100,22224,0.18,24.14,13.06,14.34,9989,26.23,42.12,11.45,11.79,55.62,23.51,26.83,22.82,15.3,48.4,62.73,3482,17.03,61.54,4.82,6.37,5.54,12.2,2.83,2.84,9.49,57.77,2,987,90.13,14.89,49.95,1939,18.93,0.85,103100,44700,194,533,33.2,25.8,17.1,160,9,12.1,65.2,49.06,83.03,90.6,4,6681,3.99,2864.6,48.75,10.828608149996219,51.6,34.24,9.870000000000005,169,0.64
Butler,PA,2,17625,0.41,99.05,0.36,0.34,0,31503,0.32,56.52,5.42,26.6,14716,7.56,20.07,18.13,5.17,53.22,26.63,26.05,15.44,8.17,82.89,62.39,109,0.73,13.74,0,0.1,0.37,2.46,2.53,1.97,0.56,32.85,3,231,96.72,4.76,56.71,1958,1.22,0.17,63000,35100,154,377,23.9,15.6,11.6,0,0,1.78,89,70.14,91.39,95.95,22.4,788.6,0.26,1618.82,0.9500000000000028,9.184794326241134,17.11,16.49,3.280000000000001,0,0
Linden,NJ,2,36701,20.01,76.76,1.5,7.36,100,35911,0.3,47.87,6.09,20.49,16308,5.63,31.78,12.16,6.69,59.11,23.78,17.99,18.8,10.24,73.35,68.58,1058,3.99,31.53,2.96,3.96,4.38,4.9,2.53,2.31,3.18,48.67,3,548,96.33,1.09,40.15,1953,2.09,0.1,151800,49300,226,594,25.1,23.5,15.4,0,0,15.97,62.65,68.53,88.45,94.29,11.2,3278.7,5.81,2671.89,23.239999999999995,7.2801558540639215,26.650000000000006,26.79,3.6700000000000017,0,0
Kalamazoo,MI,2,80277,18.75,77.28,1.87,2.68,100,23207,0.62,40.35,13.37,13.75,11956,26.23,20.41,29.79,9.17,56.5,17.61,33.84,13.01,13.6,57.08,66.93,4713,9.05,52.41,1.82,2.14,0.84,5.65,2.41,2.25,3.25,55.9,2,2079,93.4,5.77,34.15,1953,6.94,0.25,48600,40400,174,403,30.1,17.8,14.4,192,0,4.72,68.59,37.68,67.15,89.14,25.5,3153.6,2.49,4972.05,22.72,6.1936171007885195,42.92,42.19,6.599999999999994,192,0.24
Forest Park,GA,2,16925,19.14,76.84,2.43,2.69,100,25982,0.42,28.77,5.83,16.71,11946,11.95,35.51,7.38,6.32,63.76,12.18,12.38,23.11,18.21,65.51,71.27,482,3.64,49.68,1,1.45,0.77,4.91,2.64,2.79,4.57,52.95,2,688,90.16,0.73,30.96,1961,6.9,0.69,54000,18500,99,477,28.6,19.5,13,0,0,3.68,65.13,52.89,72.48,88.06,8.9,1900.8,2.33,6977.86,23.159999999999997,41.22812407680945,34.489999999999995,36.5,9.840000000000003,0,0
Vienna,VA,2,14852,4.11,84.71,9.27,4.78,100,61271,0.82,67.04,1.57,22.9,23729,3.1,10.16,45.16,2.5,72.97,4.65,26.07,4.29,9.6,85,74.87,141,1.38,58.27,6.05,7.65,4.69,5.01,2.79,2.99,3.15,14.78,3,164,97,1.83,28.66,1962,0.32,0,208600,74400,341,930,27.1,22.2,11.9,0,0,15.55,23.6,55.7,70.32,77.68,4.5,3285.8,8.94,2376.77,15.290000000000006,16.003029894963642,15,50.13,3,0,0
Westfield,NJ,2,28870,4.58,91.47,3.53,2.04,100,66760,1.32,68.6,1.75,15.18,30748,1.79,8.81,53.58,2.99,67.62,15.21,31.41,4.74,6.93,89.45,65.51,106,0.53,36.52,2.27,3.16,1.29,3.59,2.78,2.16,0.64,20.17,3,299,97.18,0.67,42.14,1946,0.2,0.12,257300,147500,415,814,24.3,22.2,13.8,0,0,9.24,51.49,66.74,81.13,87.95,7,4138.5,11.58,1508.88,8.530000000000001,5.226463457,10.549999999999997,33.55,2.819999999999993,0,0
Grand Terrace,CA,2,10946,3.77,80.2,5.87,18.19,100,45127,1.18,43.01,6.4,16.48,18940,3.64,12.4,26.84,4.24,69.99,9.48,33.36,10.1,13.12,79.44,67.79,206,2.82,27.42,1.56,2.39,0.74,5.9,2.81,2.55,4.54,33.7,3,202,95.02,0.5,16.83,1974,1.69,0.2,137000,56500,236,639,24.7,22.3,10.1,0,0,9.63,54.09,44.77,71.27,90.37,3.6,3047.3,0.66,2619.64,19.799999999999997,23.932395395578293,20.560000000000002,43.29,4.980000000000004,0,0
Carson,CA,2,83995,26.14,34.72,24.97,27.87,100,43882,0.47,32.58,9.1,17.22,13749,6.95,28.65,17.06,7.17,64.75,27.23,20.11,17.05,12.58,76.49,71.65,2564,3.8,40.07,5.18,8.06,7.02,18.36,3.51,3.61,20.72,43.71,3,633,97.41,3.32,21.33,1965,2,0.41,188100,71300,343,721,28,23.1,11.2,0,0,27,43.94,59.7,90.57,92.73,19.5,4303,2.42,1810.4,65.28,2.1553663908565985,23.510000000000005,35.26,2.5900000000000034,0,0
Berkeley,NJ,2,37319,1.04,98.45,0.24,1.5,88.74,23028,0.36,59.46,3.56,45.51,13854,4.57,38.7,6.95,7.32,28.6,9.52,23.27,12.5,4.76,83.83,74.69,188,0.51,2.76,0.03,0.09,1.6,2.1,2.09,2.22,0.52,74.79,2,2259,88.63,0.53,60.16,1979,0.81,0.42,103100,38600,320,708,35.1,25.2,15.5,0,0,7.87,59.34,57.2,69.44,91.44,44.4,839.6,1.92,1470.09,1.5499999999999972,3.939253463383263,16.17,38.01,11.370000000000005,0,0
Auburn,NY,2,31258,6.81,91.94,0.52,2.15,0,22271,0.2,40.95,10.03,22.93,10638,13.8,31.67,11.91,8.96,51.23,19.89,27.09,17.52,13.1,63.86,72.77,1059,4.21,15.69,0.19,0.37,1.24,4.86,2.41,2.15,1.38,44.72,3,746,94.12,2.55,43.57,1939,6.69,0.38,53600,29500,151,386,28.7,21.1,16,0,2,3.89,84.58,57.31,85.94,95.42,8.7,3596.7,2.97,3100.6,8.060000000000002,9.919380638556529,36.14,24.06,5.8799999999999955,2,0.01
Hilliard,OH,2,11796,0.7,98.16,0.76,0.86,100,36415,0.65,44.93,3.34,12.91,16029,4.18,18.87,21.44,4.05,69.98,18.31,22.41,11.98,11.48,81.3,68.27,101,1.2,52.07,0.36,0.67,0.2,3.06,2.77,2.55,1.36,24.41,3,354,92.23,0,22.03,1972,1.19,0,72800,40500,159,530,22.4,21.1,11,0,0,1.43,71.07,45.01,79.58,90.39,8.9,1320.6,0.51,2857.99,1.8400000000000034,24.228467277043066,18.700000000000003,34.78,7.769999999999996,0,0
Davie,FL,2,47217,3.85,92.82,1.75,9.98,100,36843,0.39,38.53,2.99,10.16,16747,7.77,19.32,20.5,4.66,70.62,9.29,20,8.95,15.43,76.49,71,648,2.1,44.99,2.66,3.66,2.08,3.49,2.62,2.43,4.32,51.08,2,1982,90.03,2.88,27.45,1979,2.97,0.4,106600,75000,209,581,26.3,24.8,11.3,0,0,10.91,30.22,36.21,71.45,83.54,33.5,1411.1,0.49,4844.56,7.180000000000007,10.260202893025818,23.510000000000005,54.04,9.969999999999999,0,0
Greenfield,MA,2,18666,0.85,97.55,0.9,1.18,0,26680,0.47,43.78,12.51,17.95,13693,11.93,19.67,17.88,5.91,59.45,14.93,31.68,12.84,15.13,64.83,69.46,432,2.99,31.08,0.62,0.69,0.48,3.01,2.33,2,1.07,49.2,3,386,95.22,0.52,30.57,1942,4.32,0.36,110300,48800,191,455,27.8,22.6,13.3,21,1,2.22,71.11,52.7,83.39,90.6,22.5,829.1,0.74,2729.67,2.450000000000003,14.623754419800708,35.17,30.93,4.780000000000001,22,0.12
Weirton,WV,2,22124,4.14,95.21,0.43,0.46,100,28261,0.43,50.13,6.22,26.05,13944,9.48,26.07,11.35,6.7,49.1,35.86,21.38,22.82,10.28,76.39,58.65,218,1.14,2.78,0.05,0.09,0.92,2.3,2.4,2.1,0.81,38.82,3,504,94.77,2.38,54.17,1955,3.22,0.05,48400,30600,109,335,21.4,14.2,11.8,0,1,3.41,51.09,70.13,88.18,93.45,18.6,1190,0.91,1336.3,4.790000000000006,6.040047007774362,23.61,30.2,5.230000000000004,1,0
Lenoir,NC,2,14192,15.78,83.6,0.28,0.54,0,21372,0.54,27.19,9.1,11.64,12012,17.55,41.63,11.72,5.11,60.68,46.89,17.48,33.61,15.55,61.42,76.95,628,4.97,16.84,0,0.11,0.21,2.89,2.36,2.31,2.09,48.85,3,409,93.55,1.96,33.99,1961,10.39,0.76,47600,38400,133,317,25.4,19.6,13,15,0,0.67,82.37,60.29,87.63,94.4,14.1,1008.8,0.21,5689.75,16.400000000000006,40.091248590755356,38.58,23.24,6.450000000000003,15,0.11
Independence,KY,2,10444,0.41,98.89,0.39,0.45,100,35951,1.11,35.14,5.47,11.06,12564,5.82,23.12,13.14,3.74,72.41,19.29,17.8,17.67,11.24,79.67,74.89,157,2.2,18.42,0.07,0.07,0.07,5.63,3.02,2.66,2.08,40.8,3,223,93.95,0.45,16.14,1973,2.66,0.35,64400,21600,108,441,24,18.8,12.4,0,0,0.36,71.66,55.11,83.07,91.34,17,614.6,2.61,1441.39,1.1099999999999994,13.801129835312143,20.33,30.05,6.049999999999997,0,0
Lomita,CA,2,19382,2.92,79.24,9.09,19.38,100,36222,0.51,40.13,7.37,14.17,16791,10.68,20.68,20,4.7,67.68,23.69,19.55,10.32,18.38,69.15,61.68,457,3.61,45.88,3.81,5.46,5.16,5.13,2.44,2.47,8.72,67.22,2,384,95.35,1.82,19.79,1962,1.52,0.23,292400,147100,273,702,27.4,27,11.7,0,67,16.34,48.86,45.07,87.46,92.23,2,9868.6,2,1432,20.760000000000005,7.388298421215561,30.849999999999994,39.54,4.650000000000006,67,0.35
Milford,CT,2,49938,1.52,96.79,1.03,2.31,100,44142,0.45,54.56,3.14,19.69,19099,3.72,18.1,23.39,5.5,66.37,23.79,21.48,11.5,10.88,81.89,71.53,583,1.65,19.12,0.65,0.83,0.64,4.03,2.62,2.21,1,37.39,3,1298,93.56,2.39,44.07,1955,0.66,0.23,172400,59900,311,748,26.1,23.3,14.2,50,0,5.21,66.29,66.71,83.52,92.45,23.4,2135.7,2.79,3837.69,3.2099999999999937,7.684909287516521,18.11,27.83,6.439999999999998,50,0.1
Kokomo,IN,2,44962,8.9,89.54,0.68,1.73,100,26272,0.58,37.7,8.04,21.93,12619,16.45,25.97,13,8.22,57.67,33.01,19.79,20.35,17.49,65.16,67.18,1096,2.83,17.83,0.1,0.14,0.63,3.5,2.37,2.21,1.87,51.24,2,1676,91.76,5.19,43.44,1954,7.65,0.29,42400,27700,131,357,26.1,15.3,12.7,69,0,1.43,74.52,53.78,86.28,93.2,14.9,3013.5,0.12,4052.98,10.459999999999994,9.014234242,34.84,28.47,8.239999999999995,69,0.15
West Monroe,LA,2,14096,17.37,81.92,0.16,1.04,100,18519,1.14,30.35,8.79,15.75,11520,21.01,28.76,16.82,7.44,52.27,13.68,25.19,12.75,16.2,61.9,64.88,604,5.03,44.93,0.39,0.39,0.13,4.15,2.34,2.35,4,57.64,2,689,89.53,1.74,47.46,1959,7.5,0.67,45700,37600,131,335,27.7,17.3,13.7,0,0,0.98,76.45,52.37,86.39,93.11,7.4,1896.7,0,7507.45,18.08,53.25943530079456,38.1,28.26,10.469999999999999,0,0
Red Wing,MN,2,15134,0.35,97.58,0.44,0.59,0,27111,1.22,48.3,5.43,14.46,13161,9.53,21.86,15.23,4.52,62.09,22.33,24.89,17.56,9.37,77.69,79.84,191,1.59,12.4,0.1,0.1,0.34,3.32,2.42,1.84,0.99,47.82,3,203,96.71,1.97,26.11,1958,3.58,0.39,64600,34400,178,337,26,17.2,12.4,0,0,0.8,74.23,52.8,77.44,89.46,36.1,419.1,1.02,3901.83,2.4200000000000017,25.78188185542487,22.310000000000002,31.84,3.2900000000000063,0,0
Redondo Beach,CA,2,60167,1.6,87.04,6.83,11.5,100,51913,0.48,49.55,3.53,10.17,26230,5.59,9.58,40.44,3.38,78.45,24.94,18.23,5.48,17.78,70.93,69.11,1021,3.45,39.95,3.08,4,2.7,3.22,2.25,2.13,4.11,60.63,2,1503,94.67,0.93,14.24,1966,0.56,0.46,348300,122500,308,863,25.4,27.4,11.8,0,29,12.42,43.47,39.07,77.69,84.01,6.5,9250.8,1.41,3348.87,12.959999999999994,5.565958083334718,29.069999999999993,46.59,5.329999999999998,29,0.05
Leesburg,FL,2,14903,27.56,71.41,0.38,1.96,0,20213,1.06,36.06,9.09,22.04,11457,19.62,33.58,13.66,7.76,50.09,11.45,26.74,14.4,15.62,57.25,70.98,748,5.39,38.35,0.79,1.06,0.65,4.2,2.28,2.48,4.16,62.53,2,978,86.65,6.65,29.04,1971,10.13,0.31,54900,34300,151,358,25.6,18.7,11.5,44,0,3.25,41.55,48.94,74.5,85.28,9.3,1604.5,0.67,4200.27,28.590000000000003,28.184056901295047,42.75,45,13.349999999999994,44,0.3
Sanford,ME,2,20463,0.18,97.58,1.74,0.88,0,27824,1.17,38.37,7.86,14.58,12053,10.4,27.39,11.57,7.09,62.32,35.89,19.46,24.25,12.78,73.92,72.45,398,2.37,25.32,0.55,0.71,1.43,4.32,2.63,2.34,1.95,47.68,3,671,91.94,1.34,44.56,1960,4.12,0.31,94400,37700,162,454,28.5,24.4,13.8,9,0,5.31,62.9,52.98,82.03,85.78,49.5,413.2,0.74,2336.99,2.4200000000000017,11.420563944680643,26.08,34.03,8.060000000000002,9,0.04
Marietta,OH,2,15026,1.28,98.06,0.41,0.48,0,20950,0.49,39.01,11.17,19.38,11646,17.68,24.71,19.77,6.82,55.09,14.23,34.55,12.97,13.55,68.64,68.63,268,2.25,43.01,0.18,0.27,0.35,3.07,2.32,2.17,1.13,45.27,3,546,91.58,1.1,50.92,1941,7.58,0.42,46400,34200,115,300,25.1,16.5,12.5,8,0,0.62,68.16,52.36,78.11,86.77,8,1885,0.95,4210.73,1.9399999999999977,28.022960202315982,31.36,33.79,8.420000000000002,8,0.05
Lake Oswego,OR,2,30576,0.52,96.17,2.69,1.56,100,51499,1.34,62.18,1.42,13.11,27946,3.69,3.44,53.93,3.01,69.28,11.13,31.1,3.66,14.18,83.13,65.08,146,0.74,36.33,1.63,1.98,0.38,2.33,2.43,1.89,0.7,36.77,3,623,95.25,1.12,12.84,1974,0.88,0.12,142600,103200,242,641,23.8,21.2,12.8,0,1,6.24,35.25,39.43,57.04,76.34,9.9,3094.7,3.1,1865.14,3.8299999999999983,6.1000130821559395,16.870000000000005,56.09,4.75,1,0
Reno,NV,2,133850,2.88,86.07,4.86,11.11,100,28388,0.81,36.04,4.38,12.84,16091,11.52,18.06,22.41,5.5,68.54,6.23,19.12,10.43,20.23,68.12,73.31,2566,3.01,58.09,4.11,5.5,3.25,4.87,2.26,2.14,6.67,64.77,2,4098,93.32,0.71,14.42,1973,6.61,0.65,109600,59900,180,492,26.9,23.3,12.2,577,32,11.93,23.58,31.66,65.4,69.62,59.6,2247,5.12,5256.94,13.930000000000007,3.927485991781845,31.879999999999995,59.79,6.680000000000007,609,0.45
Johnston,RI,2,26542,0.57,98.69,0.57,0.66,86.82,32596,0.82,42.88,6,17.11,14281,6.73,33.24,13.49,5.1,62.21,21.35,21.06,14.73,10.16,80.8,68.56,243,1.26,11.76,0.3,0.43,1.31,3.22,2.61,2,1.07,41.03,3,389,96.25,4.11,47.04,1965,0.55,0.16,133000,57600,307,488,26.7,23.9,14.6,0,0,4.33,84.13,68.99,93.54,95.61,24.5,1082.6,1.69,2107.45,1.3100000000000023,7.940057267726622,19.200000000000003,17.78,3.75,0,0
Glendale Heights,IL,2,27973,2.77,81.67,13.29,6.17,100,42822,0.49,43.98,2.75,6.09,15715,2.7,15.79,23.88,4.16,78.79,24,15.92,14.56,10.06,85.17,74.01,191,1.11,47.05,3.3,5.09,3.51,7.39,2.91,2.22,3.35,47.74,3,597,94.15,0.34,9.72,1975,1.22,0.24,105500,35100,140,623,24.3,23.4,12.4,0,0,15.3,65.01,47.93,70.54,87.87,5.3,5254.1,3.81,2278.56,18.33,8.145568941479283,14.829999999999998,38.84,5.849999999999994,0,0
Rockford,IL,2,139426,14.97,81.13,1.54,4.19,100,28282,0.62,41.48,8.61,13.93,14109,13.35,25.24,18.72,6.11,61.04,31.93,21.56,18.66,14.27,66.76,68.72,6198,5.7,32.52,0.94,1.27,1.52,4.62,2.47,2.2,2.56,50.02,2,3307,94.31,10.07,39.58,1955,5.67,0.32,56300,33800,145,367,24.6,17.5,13.1,340,1,4.87,66.11,52.83,85.56,91.73,46.6,2992.2,1.55,5875.84,18.870000000000005,4.214307231075983,33.239999999999995,31.83,5.689999999999998,341,0.24
La Puente,CA,2,36955,3.54,63.92,7.84,74.86,100,33273,0.37,17.39,14.06,11.83,9060,14.02,49.37,7.46,9.23,59.94,28.4,15.98,26.84,12.56,72.33,57.14,1620,5.27,46.57,10.41,13.47,17.59,26.78,4.06,3.8,32.6,47.08,3,266,97.14,1.88,22.18,1959,3.8,1.02,155400,43700,287,606,31,24.2,11.7,0,1,37.17,47.92,53.77,87.77,89.79,3.6,10219.9,5.22,1292.61,36.08,3.4977946150723853,27.67,36.85,2.8599999999999994,1,0
Walnut Creek,CA,2,60569,1.05,90.6,6.68,4.74,100,45529,0.43,65.31,2.57,23.06,26354,3.81,5.64,46.92,3.27,60.13,9.5,27.7,4.36,12.94,79.05,70.01,431,1,34.91,2.83,3.83,1.75,2.35,2.11,1.86,1.64,57.28,2,1621,94.59,3.02,25.79,1970,0.46,0.22,291500,146300,286,720,27.3,23.9,11.9,0,7,13.02,42.9,47.97,70.9,85.95,20,3028.4,12.57,3057.33,9.400000000000006,5.0476811570275215,20.950000000000003,46.08,5.409999999999997,7,0.01
Wausau,WI,2,37060,0.13,93.05,5.98,0.65,100,25505,0.92,55.74,7.98,16.12,13169,11.7,24.61,17.42,3.99,60.74,22.99,23.99,17.55,9.72,77.72,70.69,478,1.59,72.24,2.57,2.67,2.02,4.81,2.45,2.25,2.54,44.52,3,600,96.08,1.83,30.83,1948,3.02,0.62,51000,27300,141,360,24.5,18.9,13.5,49,0,5.18,78.28,54.29,81.39,91.56,14.6,2538.7,2.03,3098.71,6.950000000000003,8.361332973556395,22.28,28.68,3.9200000000000017,49,0.13
